time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage",d-srs-05 [Lab IoT pos 2] / Temperature,d-srs-05 [Lab IoT pos 2] / Humidity,d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage
"Fri, 30 Aug 2024 12:22:44",,,,24.6,57.5,,,
"Fri, 30 Aug 2024 12:38:55",24.8,57.0,2.843,,,,,
"Fri, 30 Aug 2024 13:22:44",,,,24.9,56.5,,,
"Fri, 30 Aug 2024 13:38:55",25.0,56.5,2.841,,,,,
"Fri, 30 Aug 2024 14:22:44",,,,25.6,55.0,,,
"Fri, 30 Aug 2024 14:38:55",25.6,55.0,2.841,,,,,
"Fri, 30 Aug 2024 15:22:44",,,,25.6,55.0,,,
"Fri, 30 Aug 2024 15:38:55",25.8,55.0,2.843,,,,,
"Fri, 30 Aug 2024 16:22:44",,,,25.8,54.5,,,
"Fri, 30 Aug 2024 16:38:55",26.0,54.5,2.846,,,,,
"Fri, 30 Aug 2024 17:22:44",,,,25.8,55.0,,,
"Fri, 30 Aug 2024 17:38:56",25.7,55.5,2.842,,,,,
"Fri, 30 Aug 2024 18:22:44",,,,25.3,56.0,,,
"Fri, 30 Aug 2024 18:38:56",25.1,56.5,2.841,,,,,
"Fri, 30 Aug 2024 19:22:44",,,,24.7,57.5,,,
"Fri, 30 Aug 2024 19:38:56",24.6,58.0,2.839,,,,,
"Fri, 30 Aug 2024 20:22:44",,,,24.3,58.5,,,
"Fri, 30 Aug 2024 20:38:56",24.2,59.5,2.834,,,,,
"Fri, 30 Aug 2024 21:22:44",,,,24.1,59.5,,,
"Fri, 30 Aug 2024 21:38:56",24.0,60.0,2.836,,,,,
"Fri, 30 Aug 2024 22:22:44",,,,23.9,60.5,,,
"Fri, 30 Aug 2024 22:38:57",23.9,61.0,2.841,,,,,
"Fri, 30 Aug 2024 23:22:44",,,,23.8,61.0,,,
"Fri, 30 Aug 2024 23:38:57",23.7,61.5,2.838,,,,,
"Sat, 31 Aug 2024 00:22:44",,,,23.6,61.5,,,
"Sat, 31 Aug 2024 00:38:57",23.7,62.0,2.838,,,,,
"Sat, 31 Aug 2024 01:22:44",,,,23.5,62.0,,,
"Sat, 31 Aug 2024 01:38:57",23.6,62.0,2.838,,,,,
"Sat, 31 Aug 2024 02:22:44",,,,23.5,62.0,,,
"Sat, 31 Aug 2024 02:38:57",23.5,62.0,2.834,,,,,
"Sat, 31 Aug 2024 03:22:44",,,,23.4,62.0,,,
"Sat, 31 Aug 2024 03:38:57",23.4,62.5,2.83,,,,,
"Sat, 31 Aug 2024 04:22:44",,,,23.3,62.0,,,
"Sat, 31 Aug 2024 04:38:57",23.3,62.5,2.834,,,,,
"Sat, 31 Aug 2024 05:22:44",,,,23.2,62.0,,,
"Sat, 31 Aug 2024 05:38:58",23.3,62.5,2.836,,,,,
"Sat, 31 Aug 2024 06:22:43",,,,23.2,62.0,,,
"Sat, 31 Aug 2024 06:38:58",23.1,62.5,2.836,,,,,
"Sat, 31 Aug 2024 07:22:43",,,,23.1,62.0,,,
"Sat, 31 Aug 2024 07:38:58",23.2,62.5,2.838,,,,,
"Sat, 31 Aug 2024 08:22:43",,,,23.2,62.0,,,
"Sat, 31 Aug 2024 08:23:26",,,,,,25.5,55.5,3.027
"Sat, 31 Aug 2024 08:38:58",23.3,62.0,2.835,,,,,
"Sat, 31 Aug 2024 09:22:43",,,,23.4,61.5,,,
"Sat, 31 Aug 2024 09:38:58",23.6,61.5,2.839,,,,,
"Sat, 31 Aug 2024 10:22:43",,,,23.7,61.0,,,
"Sat, 31 Aug 2024 10:38:58",24.0,61.0,2.835,,,,,
"Sat, 31 Aug 2024 11:38:59",24.5,59.0,2.835,,,,,
