time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage","d-srs-04 [C40] CITEDI-IPN, Tijuana / Activity",d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage
"Thu, 12 Sep 2024 12:39:38",25.9,48.0,2.846,,,,
"Thu, 12 Sep 2024 13:39:38",26.4,,2.842,,,,
"Thu, 12 Sep 2024 15:39:39",27.1,46.0,2.85,,,,
"Thu, 12 Sep 2024 16:39:39",27.2,45.5,2.853,,,,
"Thu, 12 Sep 2024 17:39:39",27.0,46.0,2.846,,,,
"Thu, 12 Sep 2024 18:39:39",26.4,,2.849,,,,
"Thu, 12 Sep 2024 19:39:39",25.8,49.0,2.848,,,,
"Thu, 12 Sep 2024 20:39:40",25.5,50.5,2.841,,,,
"Thu, 12 Sep 2024 21:39:40",25.3,51.5,2.842,,,,
"Thu, 12 Sep 2024 22:39:40",25.2,52.0,2.846,,,,
"Thu, 12 Sep 2024 23:39:40",25.2,52.5,2.848,,,,
"Fri, 13 Sep 2024 00:39:40",25.0,53.0,2.845,,,,
"Fri, 13 Sep 2024 01:39:41",24.9,53.0,2.846,,,,
"Fri, 13 Sep 2024 02:39:41",24.8,53.5,2.842,,,,
"Fri, 13 Sep 2024 03:39:41",24.8,53.5,2.843,,,,
"Fri, 13 Sep 2024 04:39:41",24.7,53.5,2.845,,,,
"Fri, 13 Sep 2024 05:39:41",24.6,53.5,2.841,,,,
"Fri, 13 Sep 2024 06:24:05",,,,,26.3,50.0,3.035
"Fri, 13 Sep 2024 06:39:41",24.5,53.0,2.843,,,,
"Fri, 13 Sep 2024 07:24:19",,,,,26.2,49.0,3.0340000000000003
"Fri, 13 Sep 2024 07:39:41",24.4,52.5,2.841,,,,
"Fri, 13 Sep 2024 08:39:41",24.5,52.0,2.845,,,,
"Fri, 13 Sep 2024 08:52:48",,,,1.0,,,
"Fri, 13 Sep 2024 09:01:12",,,,0.0,,,
"Fri, 13 Sep 2024 09:10:43",,,,1.0,,,
"Fri, 13 Sep 2024 09:39:42",25.4,53.0,2.846,,,,
"Fri, 13 Sep 2024 10:39:42",25.0,47.5,2.838,,,,
"Fri, 13 Sep 2024 11:13:35",,,,0.0,,,
"Fri, 13 Sep 2024 11:39:42",22.8,52.5,2.838,,,,
