time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage","d-srs-04 [C40] CITEDI-IPN, Tijuana / Activity"
"Fri, 13 Sep 2024 12:39:42",22.4,48.5,2.834,
"Fri, 13 Sep 2024 12:44:04",,,,1.0
"Fri, 13 Sep 2024 12:49:04",,,,0.0
"Fri, 13 Sep 2024 13:39:42",22.5,49.5,2.839,
"Fri, 13 Sep 2024 14:14:08",,,,1.0
"Fri, 13 Sep 2024 14:26:15",,,,1.0
"Fri, 13 Sep 2024 14:31:15",,,,0.0
"Fri, 13 Sep 2024 14:39:42",23.6,50.0,2.843,
"Fri, 13 Sep 2024 14:57:54",,,,1.0
"Fri, 13 Sep 2024 15:39:42",23.9,50.0,2.841,
"Fri, 13 Sep 2024 15:40:48",,,,0.0
"Fri, 13 Sep 2024 15:41:11",,,,1.0
"Fri, 13 Sep 2024 16:39:42",23.4,49.0,2.836,
"Fri, 13 Sep 2024 17:06:13",,,,0.0
"Fri, 13 Sep 2024 17:39:42",24.9,50.5,2.841,
"Fri, 13 Sep 2024 18:39:42",24.8,51.5,2.842,
"Fri, 13 Sep 2024 19:39:42",24.5,52.5,2.841,
"Fri, 13 Sep 2024 20:39:42",24.4,53.5,2.843,
"Fri, 13 Sep 2024 21:39:42",24.2,54.0,2.839,
"Fri, 13 Sep 2024 22:39:42",24.2,54.5,2.841,
"Fri, 13 Sep 2024 23:39:42",24.2,55.0,2.842,
"Sat, 14 Sep 2024 00:39:42",24.2,55.0,2.841,
"Sat, 14 Sep 2024 01:39:43",24.0,55.5,2.839,
"Sat, 14 Sep 2024 02:39:43",24.0,55.5,2.841,
"Sat, 14 Sep 2024 03:39:43",23.9,55.5,2.834,
"Sat, 14 Sep 2024 04:39:43",23.9,55.5,2.841,
"Sat, 14 Sep 2024 05:39:43",23.8,55.5,2.842,
"Sat, 14 Sep 2024 06:39:43",23.8,55.5,2.839,
"Sat, 14 Sep 2024 07:39:43",23.8,55.5,2.841,
"Sat, 14 Sep 2024 08:39:44",24.0,55.0,2.838,
"Sat, 14 Sep 2024 09:39:44",24.1,54.5,2.836,
"Sat, 14 Sep 2024 10:39:44",24.3,54.0,2.841,
"Sat, 14 Sep 2024 11:39:44",24.8,52.5,2.843,
"Sat, 14 Sep 2024 11:44:07",,,,1.0
"Sat, 14 Sep 2024 11:49:07",,,,0.0
