time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage"
"Sun, 15 Sep 2024 12:39:48",24.8,55.0,2.843
"Sun, 15 Sep 2024 13:39:48",24.9,54.5,2.839
"Sun, 15 Sep 2024 14:39:47",25.0,54.0,2.839
"Sun, 15 Sep 2024 15:39:47",24.9,54.0,2.835
"Sun, 15 Sep 2024 16:39:47",24.8,54.5,2.843
"Sun, 15 Sep 2024 17:39:48",24.6,55.0,2.838
"Sun, 15 Sep 2024 18:39:48",24.4,55.5,2.843
"Sun, 15 Sep 2024 20:39:48",23.9,57.0,2.836
"Sun, 15 Sep 2024 21:39:48",23.8,57.0,2.838
"Sun, 15 Sep 2024 22:39:48",23.8,57.5,2.841
"Sun, 15 Sep 2024 23:39:48",23.7,57.5,2.838
"Mon, 16 Sep 2024 00:39:48",23.7,57.5,2.838
"Mon, 16 Sep 2024 01:39:48",23.6,57.5,2.834
"Mon, 16 Sep 2024 02:39:48",23.5,57.5,2.838
"Mon, 16 Sep 2024 03:39:48",23.5,57.5,2.839
"Mon, 16 Sep 2024 04:39:48",23.5,57.5,2.836
"Mon, 16 Sep 2024 05:39:48",23.3,57.5,2.836
"Mon, 16 Sep 2024 06:39:48",23.3,57.5,2.838
"Mon, 16 Sep 2024 07:39:49",23.3,57.5,2.838
"Mon, 16 Sep 2024 08:39:49",23.4,56.5,2.838
"Mon, 16 Sep 2024 10:39:49",24.0,54.5,2.839
"Mon, 16 Sep 2024 11:39:49",24.2,54.0,2.835
