time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage","d-srs-04 [C40] CITEDI-IPN, Tijuana / Activity",d-srs-05 [Lab IoT pos 2] / Temperature,d-srs-05 [Lab IoT pos 2] / Humidity,d-srs-05 [Lab IoT pos 2] / Activity,d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage,d-srs-06 [PV] / Activity
"Tue, 03 Sep 2024 12:06:23",,,,1.0,,,1.0,,,,
"Tue, 03 Sep 2024 12:11:23",,,,0.0,,,0.0,,,,
"Tue, 03 Sep 2024 12:13:24",,,,1.0,,,1.0,,,,
"Tue, 03 Sep 2024 12:22:40",,,,,24.9,58.0,,,,,
"Tue, 03 Sep 2024 12:23:43",,,,,,,,27.9,53.5,3.027,
"Tue, 03 Sep 2024 12:33:45",,,,0.0,,,0.0,,,,
"Tue, 03 Sep 2024 12:41:52",,,,,,,1.0,,,,
"Tue, 03 Sep 2024 12:41:54",,,,1.0,,,,,,,
"Tue, 03 Sep 2024 12:45:16",,,,,,,,,,,0.0
"Tue, 03 Sep 2024 12:48:43",,,,0.0,,,0.0,,,,
"Tue, 03 Sep 2024 12:51:28",,,,,,,1.0,,,,
"Tue, 03 Sep 2024 12:51:31",,,,1.0,,,,,,,
"Tue, 03 Sep 2024 13:03:51",,,,0.0,,,,,,,
"Tue, 03 Sep 2024 13:34:39",,,,1.0,,,,,,,
"Tue, 03 Sep 2024 13:39:10",25.1,62.0,2.835,,,,,,,,
"Tue, 03 Sep 2024 13:39:39",,,,0.0,,,,,,,
"Tue, 03 Sep 2024 14:23:50",,,,,,,,28.1,55.0,3.025,
"Tue, 03 Sep 2024 14:39:10",25.5,61.5,2.835,,,,,,,,
"Tue, 03 Sep 2024 15:02:30",,,,1.0,,,,,,,
"Tue, 03 Sep 2024 15:39:10",25.7,59.5,2.838,,,,,,,,
"Tue, 03 Sep 2024 16:11:34",,,,0.0,,,,,,,
"Tue, 03 Sep 2024 16:12:55",,,,1.0,,,,,,,
"Tue, 03 Sep 2024 16:17:55",,,,0.0,,,,,,,
"Tue, 03 Sep 2024 16:18:56",,,,1.0,,,,,,,
"Tue, 03 Sep 2024 16:23:43",,,,,,,,28.1,44.5,3.027,
