time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage",d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage
"Sun, 08 Sep 2024 12:39:25",31.6,49.0,2.85,,,
"Sun, 08 Sep 2024 13:39:25",32.1,48.0,2.853,,,
"Sun, 08 Sep 2024 14:39:25",32.7,47.0,2.853,,,
"Sun, 08 Sep 2024 15:39:25",33.0,46.0,2.853,,,
"Sun, 08 Sep 2024 16:39:25",33.1,45.5,2.856,,,
"Sun, 08 Sep 2024 17:39:25",32.8,46.0,2.855,,,
"Sun, 08 Sep 2024 18:39:25",32.5,47.0,2.855,,,
"Sun, 08 Sep 2024 19:39:25",32.1,48.0,2.859,,,
"Sun, 08 Sep 2024 20:39:25",31.7,49.5,2.856,,,
"Sun, 08 Sep 2024 21:39:26",31.4,50.5,2.855,,,
"Sun, 08 Sep 2024 22:24:00",,,,30.5,51.5,3.028
"Sun, 08 Sep 2024 22:39:26",31.2,51.5,2.853,,,
"Sun, 08 Sep 2024 23:39:26",31.1,52.0,2.855,,,
"Mon, 09 Sep 2024 00:39:26",30.9,53.0,2.856,,,
"Mon, 09 Sep 2024 01:24:00",,,,30.3,52.5,3.035
"Mon, 09 Sep 2024 01:39:26",30.7,53.5,2.856,,,
"Mon, 09 Sep 2024 02:39:27",30.5,54.0,2.846,,,
"Mon, 09 Sep 2024 03:39:27",30.3,54.5,2.853,,,
"Mon, 09 Sep 2024 04:24:01",,,,30.0,51.5,3.029
"Mon, 09 Sep 2024 04:39:27",30.2,54.5,2.855,,,
"Mon, 09 Sep 2024 05:39:27",30.2,54.5,2.855,,,
"Mon, 09 Sep 2024 06:39:27",30.0,54.5,2.853,,,
"Mon, 09 Sep 2024 07:39:27",30.0,54.5,2.843,,,
"Mon, 09 Sep 2024 08:39:27",30.2,52.5,2.846,,,
"Mon, 09 Sep 2024 09:39:27",30.5,48.0,2.853,,,
"Mon, 09 Sep 2024 10:39:27",30.7,47.0,2.853,,,
"Mon, 09 Sep 2024 11:39:27",31.1,43.0,2.85,,,
